matchId,gameDuration(s),gameMode,summonerId,puuid,teamId,championId,championName,kills,deaths,assists,wardsPlaced,win,teamPosition,ChampionLevel
NA1_4472278179,2382,CLASSIC,zPWD-KJOXOg93aZ63rcseB5NTR-5HJClwcwhW37fMlqyNdC6,ECUc1tgVDut0-jSz4x2E3gyh5iQhX7fbUsEz4ivuUbep7ICzQl4v8QrG8SrcLQgdrs7yOesSUiOIqQ,100,517,Sylas,5,10,8,12,TRUE,MIDDLE,3
NA1_4472278179,2382,CLASSIC,J5g9b_f7CnBsBeWTwnnu2RyPEQggFY5oLZoI_frAUQ1SQrUY,x6ksnS9PAxq30M__m7qLC4DVDJOYpT2MaTXEPUrAKfjeCtjsiqW08N_aZl4A5BYWO4iDSnRD3bBFXg,100,104,Graves,4,9,9,21,TRUE,JUNGLE,2
NA1_4472278179,2382,CLASSIC,6wXgMRJZKUyf7iyAJPm1pYMIdn4nim5uTt25eZhaRgT4rklaHqiUfDEXWA,9r6eu5E5ofq-N9k_v4Dmj2ylupYzWPiQ7LNuo-9GYPPgMJXt4BT_sTuAhH-mVuEn0anzFOAkpLview,100,84,Akali,16,7,7,13,TRUE,TOP,7
NA1_4472278179,2382,CLASSIC,YpnUcCuF1SmYycVuFUvW1wnKZ5_lvnNId7iuFbEot-YXUYg,WW23rkVT6OV2fClUUvzb0c7-F1DD2PqkJsxCocN-4D3-ZLrvYYHHEvm5LbzGTPvq_ndtnn1TFSunuQ,100,145,Kaisa,8,9,10,8,TRUE,BOTTOM,2
NA1_4472278179,2382,CLASSIC,16ABIpZ5d6x3XptGRkZQgq7SAsHe_14G6mmmtkSS1ttIziM,Ke2iaq1Pys4qr3D0Vb9KbLYYGAeR8oWySHkdQYXdH1MzJgcQwUClkMASybumY6V5_sPR_3Q8tZibBQ,100,267,Nami,7,6,19,32,TRUE,UTILITY,7
NA1_4472278179,2382,CLASSIC,jNaO5XTcM2YMunKGwLec658wNAHgBCZ-Ep8EOKSYrwFIBO4,OzMW8fKgzST14BThWm3bN7sij-5-SiQlGS0DREt6z9KWjn6YdmZKO-ORyjxy9W7f8Arbn1uMQOiITw,200,10,Kayle,4,13,11,18,FALSE,TOP,7
NA1_4472278179,2382,CLASSIC,9XIcrcRtGy0o0RHq0Pz5p0uGczcHwYnHMHwDCqLJSLMk_elKFVP2oiQL8w,FN_0yzqrxemAUFjygNeoW0iEX1EBR5mqt4l3R1YmlzXdfXW3zLcbQ9P2cvIzqfNPJU9K-Dmc5PD6vw,200,48,Trundle,15,6,14,11,FALSE,JUNGLE,4
NA1_4472278179,2382,CLASSIC,P2kwo5gtUaFi_S5XaZOsNXI5HKBuV7lxgAGz-mAVVOJTaZE,pUrihdkZJMavTvWbyytAX5jgf6ayS0tU-SxbIIbUMUCMIajBEW7IKbVjigzvcz62UDSO5OtyaezIkw,200,75,Nasus,3,7,15,11,FALSE,MIDDLE,5
NA1_4472278179,2382,CLASSIC,X8aZ-_Mm8YT2uk8XUMCTTruFcI8Yr2-X5w6wRrCyWijlUC8,ZV2rUvYGXpfF4BV81WLKCQgcyuRa8f95hefOoxwSnPktgInFojG0tMXA4w0UQnPsa9ZQUoeiZmZYsw,200,18,Tristana,13,8,11,11,FALSE,BOTTOM,5
NA1_4472278179,2382,CLASSIC,eXnFxGvVtAlVd3HMUiPEUDmkum5yGKMqEhydfPiEaIPjVA4,rkPbg5DQN8LJM0RM9hDb1467Nl-Oo5whY7LsDH67iLDrsfqsUQdB9ulgve4usG7ocgqs-un9Gxt5XA,200,53,Blitzcrank,6,6,17,33,FALSE,UTILITY,4
