matchId,puuid,summonerId,teamId
NA1_4474682981,eXYSCdyio9Kq8BTcWi9bduVwQRXrXiErlWN06yVb9s-jdrLGGP2FSr3Hwli-WXXLm_NSNTl_0pWwcQ,aBzhTKJIVZO9PI83wUIhLsyrbznyxYtz_cAJGj2E9ELHOME,200
NA1_4474682125,MpVS6NN3QY-BBMPyqjNum1B4m5x-lqjVDHmR6r-dyErkjUaPrFKSuXcsOKdn3R69dW6Orw9ONdOclA,8elsJAI_pfMKG0lc2c9rFNAfZxcPHg40Macwc79et2WpklE,100
NA1_4474682125,KJco1VfDcQ_aEMgQz8WDoQcg7pjA2x5mSlQI-CyN-Yu7gCM4CPfticdu352IZVnFSqMzmlDsDahbDw,ZI6DBLcuAw_mfGR1U0M6W5tuHlUHsj-eOMo1mJIRVA-ecGM,100
NA1_4474682125,PMxzLbEkSWsnCy-bsYvLF5qPg9SnQ8CR9S0BV4WpqrQEO6rKvsEA9O5gBNBcO6mRkb3EdRgObjfYYA,8A9XPONO2BLoynYML94EsmCMtxux05Km7BZ5VfOlXawoq-GfANOr9qkFwg,100
NA1_4474682125,dBTgodfOTyC3IlwUjOvXctQY0-nzcEl7my6w_SPuDNbsyS57LHkmIjQ70FVi6mOCR63GqIsuZaCL7Q,GnTOmmWjV2bC5qKH6IJSGOecfBQaEOItWqEFzHty2kL_vyToQztXYcsskQ,100
NA1_4474682125,YUnPZpbIapxizusCcRoBYF-FyylLfdWUNFJuDug-9ga5XfHzHTe16Xzl4gn9MKWsIiQk8c7GbQyfjQ,ukXmQO0XRkNt0Cq2D1_9FGxZdoyhT_UZLEbdfD0FWfaARkA,100
NA1_4474682125,2W4gtb8C4lCF4wau05wAIRZrQ2wUl5MlHUk1sReYUo16JwJjWi8h651AZajrACLJ_qMY0Myl39HOIA,aL3kyQcoxmL5yqXztyfXXMMs48BCzqRUHwURQZRyYasZnoY,200
NA1_4474682125,o5zCYSNNKscdRMBoyxptipbDHj7wnsxJqVkpDv8D6qTuQOJwv_7QAhv117JcvTrxyOXaKB-yASNysw,k_JTrU_HY9N9vL7Wu-sf_1d-geigKD9l9LK4eRffM0tgb2Vc,200
NA1_4474682125,asBfeOeoIEaurlONNIS_Kc5FjWe_c65jWlFEwTfmd-_OyUbipaYKxE1QGNigDzy4y_ndMHzWg68bJw,FWiSh5GFDM3P8l8s0K1rfPUILNbPneBWKVT1FBmvLk7EY9I,200
NA1_4474682125,13NpPSw66wv0uPIqnQPmzYFf__N63o0T7uy65h-7I0X4WsEJqn3aKi7Me6H-NQ-eFMIArrt8caBllQ,D7S-sfHsKmZOR60vvB2qMim7mQItxxSBl4Y783ihz0Yh80HpBNWrE99Fhw,200
NA1_4474682125,Qk7zBy8DQZDMK0QpQXz5EzY9d1HCDZ_xFPSRjbbJE2UXwJpTVmKjP2koQ9Hhd_aukKCHNP7-YG-mUA,uqF6AVNnljtQ1HqMzjGUeNXR8xxJrTZP-tJE7nG9GF0FVyI,200
NA1_4474681565,bktufFKf1dt9-b_38UZ0nKpslzyL3imNqm18j-oCIdtNGGss27tXr2kEHr8wbkjluO8zMOXTAFNLdA,RJTfam-ZiNkNkjjEZ3LE18O8qdlROr8y0zPKWVOcv1p17es,100
NA1_4474681565,2Vjt9Ezugc3FOApA6IWqykCS5SN5Q9XaOWzERe-zdZxGEPNQVnnpNsSijW8sptrXyJe9Ruo43EV62w,RpEVIEPwzXE54_IDaUwKsNLe-v3wWUNXNZLu8AayWUEJ2m8,100
